                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.7858,                 1.5744,                 1.1254,                0.56936,                0.44078,                0.46032,                0.21788,                 1.7253,                 3.1824,                0.78037,                6.8e-05,                6.8e-05,                6.8e-05
                     34,                 1.8573,                 1.6368,                 1.1269,                0.57145,                0.44678,                0.46394,                0.21866,                 1.7165,                 3.1794,                0.78119,                6.7e-05,                6.7e-05,                6.7e-05
                     35,                 1.7983,                 1.5943,                 1.1331,                0.55864,                0.42729,                0.43203,                0.20139,                  1.781,                 3.2075,                  0.815,                6.6e-05,                6.6e-05,                6.6e-05
                     36,                 1.8269,                 1.5644,                 1.1212,                0.56719,                0.42831,                0.44081,                0.20652,                 1.7514,                 3.2047,                0.79837,                6.5e-05,                6.5e-05,                6.5e-05
                     37,                 1.8247,                  1.592,                 1.1183,                0.57826,                0.44378,                0.46209,                0.21317,                 1.7432,                 3.2172,                0.78893,                6.4e-05,                6.4e-05,                6.4e-05
                     38,                 1.7961,                  1.551,                 1.1085,                 0.5638,                0.43478,                0.44644,                0.21082,                 1.7455,                  3.223,                0.79548,                6.3e-05,                6.3e-05,                6.3e-05
                     39,                 1.8087,                 1.5571,                 1.1339,                0.57077,                0.45727,                0.46242,                0.21676,                  1.753,                 3.2019,                0.79206,                6.2e-05,                6.2e-05,                6.2e-05
                     40,                 1.8239,                 1.5205,                  1.106,                0.59328,                0.45427,                0.47913,                0.21404,                 1.7632,                 3.2439,                0.77226,                6.1e-05,                6.1e-05,                6.1e-05
                     41,                 1.8548,                 1.5454,                 1.1059,                0.56365,                0.45727,                 0.4738,                0.21047,                 1.7688,                 3.2624,                0.76837,                  6e-05,                  6e-05,                  6e-05
                     42,                 1.8376,                 1.5446,                 1.1041,                0.59866,                0.46177,                0.48094,                0.21459,                 1.7557,                 3.2115,                0.77423,                5.9e-05,                5.9e-05,                5.9e-05
                     43,                 1.8345,                 1.5712,                 1.1377,                0.55647,                0.46477,                0.45861,                0.21252,                 1.7616,                 3.1895,                0.79536,                5.8e-05,                5.8e-05,                5.8e-05
                     44,                 1.8133,                 1.5549,                 1.1389,                0.58152,                0.47976,                0.48069,                0.22032,                 1.7516,                 3.1895,                0.77827,                5.7e-05,                5.7e-05,                5.7e-05
                     45,                 1.8279,                 1.5889,                 1.1061,                0.58954,                0.46777,                0.47832,                0.21767,                 1.7542,                 3.2297,                0.77065,                5.6e-05,                5.6e-05,                5.6e-05
                     46,                 1.7937,                 1.5074,                 1.0901,                 0.6087,                0.46627,                0.48403,                 0.2226,                 1.7632,                 3.2409,                0.77383,                5.5e-05,                5.5e-05,                5.5e-05
                     47,                 1.8193,                 1.5334,                 1.1062,                0.58885,                0.48576,                0.48336,                0.22043,                  1.763,                 3.1958,                0.77836,                5.4e-05,                5.4e-05,                5.4e-05
                     48,                 1.7856,                 1.5356,                 1.1158,                0.58053,                0.49325,                 0.4846,                0.21689,                 1.7672,                 3.2083,                0.77381,                5.3e-05,                5.3e-05,                5.3e-05
                     49,                 1.8176,                 1.5285,                 1.1011,                0.59187,                0.49475,                 0.4946,                0.22012,                 1.7682,                 3.2014,                0.77746,                5.2e-05,                5.2e-05,                5.2e-05
                     50,                 1.7834,                 1.5596,                 1.1236,                0.60161,                0.47545,                0.47453,                0.22016,                 1.7549,                 3.1751,                0.78822,                5.1e-05,                5.1e-05,                5.1e-05
                     51,                  1.826,                 1.6012,                 1.1178,                0.58529,                0.47676,                0.47755,                0.22064,                 1.7456,                 3.1829,                0.78446,             5.0001e-05,             5.0001e-05,             5.0001e-05
                     52,                 1.8261,                 1.5324,                 1.1147,                0.58045,                0.45277,                0.47467,                0.21915,                 1.7379,                  3.185,                0.78332,             4.9001e-05,             4.9001e-05,             4.9001e-05
                     53,                 1.7751,                  1.523,                   1.12,                0.56802,                0.49475,                 0.4767,                0.21948,                 1.7593,                  3.174,                  0.782,             4.8001e-05,             4.8001e-05,             4.8001e-05
                     54,                 1.7639,                 1.5386,                 1.1176,                0.56962,                0.49325,                0.47728,                 0.2189,                 1.7565,                 3.1911,                 0.7788,             4.7001e-05,             4.7001e-05,             4.7001e-05
                     55,                 1.7973,                 1.5447,                 1.1207,                0.57613,                0.46927,                0.47292,                0.21654,                 1.7576,                 3.1979,                0.78894,             4.6001e-05,             4.6001e-05,             4.6001e-05
                     56,                 1.7648,                 1.5396,                 1.1346,                0.58452,                0.47676,                 0.4839,                0.21791,                 1.7631,                 3.2013,                0.78141,             4.5001e-05,             4.5001e-05,             4.5001e-05
                     57,                 1.8375,                 1.5348,                 1.1074,                 0.5717,                0.48426,                0.48464,                0.22014,                 1.7567,                 3.2043,                0.77493,             4.4001e-05,             4.4001e-05,             4.4001e-05
                     58,                  1.799,                 1.4784,                 1.0835,                0.58379,                0.49325,                0.49072,                0.22502,                  1.751,                 3.1741,                0.77695,             4.3001e-05,             4.3001e-05,             4.3001e-05
                     59,                 1.8031,                 1.5354,                 1.1288,                0.59868,                0.48576,                0.48732,                 0.2237,                 1.7534,                 3.1575,                0.78336,             4.2001e-05,             4.2001e-05,             4.2001e-05
