                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6942,                 3.7678,                 1.2831,                      1,                  0.875,                 0.9374,                0.66588,                 1.0163,                 3.7917,                0.89112,               0.077002,                2.3e-06,                2.3e-06
                      1,                 1.6397,                 2.7414,                 1.2317,                0.53333,                      1,                  0.995,                0.74417,                0.93029,                 3.3437,                0.86658,               0.053005,              4.606e-06,              4.606e-06
                      2,                 1.6057,                 2.1915,                 1.2547,                0.16327,                      1,                  0.995,                0.79288,                0.83191,                 2.6868,                0.85737,               0.029007,              6.816e-06,              6.816e-06
                      3,                  1.527,                 1.9797,                 1.2092,                      1,                0.69043,                  0.995,                0.75556,                0.89634,                 2.1181,                0.86735,              0.0050089,               8.93e-06,               8.93e-06
                      4,                  1.503,                 1.8256,                 1.1723,                0.94999,                      1,                  0.995,                0.74305,                0.96161,                 1.5852,                 0.8908,                9.2e-06,                9.2e-06,                9.2e-06
                      5,                  1.536,                 1.7923,                 1.2565,                0.97552,                      1,                  0.995,                0.72839,                0.98394,                 1.2694,                0.89421,                9.2e-06,                9.2e-06,                9.2e-06
                      6,                 1.5503,                 1.6848,                 1.2543,                 0.9858,                      1,                  0.995,                0.73023,                0.96316,                 1.1126,                0.89085,                  9e-06,                  9e-06,                  9e-06
                      7,                  1.497,                  1.667,                 1.2144,                0.98896,                      1,                  0.995,                0.73015,                0.96809,                 1.0526,                0.88747,                8.8e-06,                8.8e-06,                8.8e-06
